Citation,Entity Empowered,Triggering Event,Location,Powers Invoked,Specific Agency
Executive Order 12148,"Federal Emergency Management Agency,Department of Housing and Urban Development,Department of Defense,Department of Commerce,General Services Administration",No triggering event - Capacity Building,Domestic,Mission Assignment/Response Coordination,Department of Commerce
Executive Order 13618,"Department of State,Department of Defense,Department of Justice,Department of Commerce,Department of Homeland Security,Federal Communications Commission,General Services Administration",No triggering event - Capacity Building,Domestic,"Mission Assignment/Response Coordination,Response Leadership",Department of Commerce
Homeland Security Presidential Directive 7,"Department of Homeland Security,Department of Justice,Broadly applies to any relevant federal agency,Department of Agriculture,Environmental Protection Agency,Department of Energy,Department of the Treasury,Department of the Interior,Department of Defense,Department of Commerce,Department of Transportation,Department of Health and Human Services,Department of State",No triggering event - Capacity Building,Domestic,"Strategies and General Preparedness Efforts,Military Readiness,Communications",Department of Commerce
Presidential Policy Directive 21,"Department of Homeland Security,Department of State,Department of Justice,Department of Defense,Department of the Interior,Department of Commerce,Department of Energy,Department of the Treasury,Department of Agriculture,Department of Transportation,Environmental Protection Agency,Department of Health and Human Services,General Services Administration",No triggering event - Capacity Building,Domestic,"Communications,Strategies and General Preparedness Efforts,Military Readiness",Department of Commerce
7 C.F.R. §§ 789.1–789.73,Department of Commerce,Defense Production Act invocation,Domestic,"Government Contracts,Defense Production Act",Department of Commerce
33 U.S.C. § 3061,"Department of Commerce - National Oceanic and Atmospheric Administration,Department of Defense - Department of the Navy,POTUS or Executive Office of the President of the United States","Natural Disaster,Act of War,Presidential Emergency Declarations,Presidential Major Disaster Declaration",Both,"Military Readiness,""Troop, Uniformed Service, or National Guard Deployment""",Department of Commerce
35 U.S.C. § 181,"Department of Defense,Department of Commerce - Patent and Trademark Office","Act of War,Declaration of War",Both,Waiver,Department of Commerce
15 C.F.R. §§ 700.1–700.93,"Department of Defense,Department of Commerce","Presidential Major Disaster Declaration,Presidential Emergency Declarations",Domestic,"Government Contracts,Defense Production Act",Department of Commerce
