Citation,Entity Empowered,Triggering Event,Location,Powers Invoked,Specific Agency
Homeland Security Presidential Directive 7,"Department of Homeland Security,Department of Justice,Broadly applies to any relevant federal agency,Department of Agriculture,Environmental Protection Agency,Department of Energy,Department of the Treasury,Department of the Interior,Department of Defense,Department of Commerce,Department of Transportation,Department of Health and Human Services,Department of State",No triggering event - Capacity Building,Domestic,"Strategies and General Preparedness Efforts,Military Readiness,Communications",Department of Energy
Presidential Policy Directive 21,"Department of Homeland Security,Department of State,Department of Justice,Department of Defense,Department of the Interior,Department of Commerce,Department of Energy,Department of the Treasury,Department of Agriculture,Department of Transportation,Environmental Protection Agency,Department of Health and Human Services,General Services Administration",No triggering event - Capacity Building,Domestic,"Communications,Strategies and General Preparedness Efforts,Military Readiness",Department of Energy
44 C.F.R. § 321,"Department of Defense,Department of Energy,Federal Emergency Management Agency,Department of Transportation - Maritime Administration",No triggering event - Capacity Building,Both,Military Readiness,Department of Energy
